code,lat,long,elev,type,age,year,Ht_cm,from_treeline
SP62,28.57089583,84.65898528,3760,SP,12,1997,80.5,above
SD16,28.57095667,84.65891111,3761,SD,8,2001,11.6,above
SP10,28.57082028,84.65901972,3762,SP,8,2001,44,above
SP60,28.57090194,84.65892722,3763,SP,14,1995,38,above
SD77,28.5708175,84.65900528,3764,SD,9,2000,11.2,above
SP68,28.57082972,84.65899167,3764,SP,9,2000,16,above
SP7,28.57088694,84.65886083,3767,SP,10,1999,49,above
SD10,28.57089278,84.65884917,3767,SD,6,2003,12.2,above
SD46,28.57083,84.65893861,3767,SD,4,2005,5.3,above
SP34,28.57084556,84.65889139,3768,SP,13,1996,58,above
SP44,28.57077167,84.65895639,3769,SP,11,1998,75.5,above
SD72,28.57082583,84.65886694,3771,SD,7,2002,11.4,above
SP33,28.5708225,84.65885028,3772,SP,7,2002,17,above
SD84,28.57075139,84.65890694,3773,SD,7,2002,10.2,above
SP48,28.57082667,84.65880139,3774,SP,12,1997,42.3,above
SP59,28.57075222,84.65889028,3774,SP,12,1997,17,above
SD36,28.57081,84.65877111,3777,SD,9,2000,14,above
SD4,28.57074417,84.65885667,3777,SD,6,2003,13,above
SP1,28.57074361,84.65881833,3779,SP,10,1999,23,above
SP3,28.57075056,84.65874583,3782,SP,9,2000,18.7,above
SP2,28.57066361,84.65885778,3784,SP,8,2001,17,above
SD81,28.57065111,84.65885639,3785,SD,9,2000,13.2,above
SP42,28.57071167,84.65873472,3785,SP,7,2002,49,above
SD30,28.57070778,84.6587225,3786,SD,8,2001,14.5,above
SP12,28.5706675,84.65873667,3788,SP,11,1998,39,above
SD2,28.57066444,84.65876,3788,SD,6,2003,12.8,above
SD3,28.57062389,84.65864194,3788,SD,4,2005,11.6,above
SD55,28.57062722,84.65883083,3788,SD,3,2006,5,above
SD12,28.57067611,84.65866306,3792,SD,5,2004,12.5,above
SD23,28.57058889,84.65873861,3796,SD,6,2003,13,above
SD88,28.57056233,84.65863389,3803,SD,9,2000,14.5,above
SD15,28.57057611,84.65858583,3804,SD,1,2008,6.4,above
SD6,28.5705,84.65866083,3807,SD,5,2004,13.3,above
SD24,28.57052389,84.65854833,3810,SD,6,2003,11.5,above
SD35,28.57047917,84.65855389,3814,SD,4,2005,10,above
SD13,28.57035,84.65855056,3824,SD,1,2008,5.8,above
SD53,28.57033167,84.6585225,3827,SD,3,2006,6.5,above
SD7,28.57030361,84.6583575,3835,SD,1,2008,5.1,above
SD14,28.57023222,84.65837583,3841,SD,2,2007,8,above
